protocol,strategy_name,strategy_type,dsr_score,sortino_score,calmar_score,drawdown_score,stability_score,discipline_score,robust_score,mandate_aware_score,rank_robust,rank_mandate_aware
zero_cash,60_40_SPY_TLT,benchmark,0.1029155098073227,0.4104961562556169,0.2451739742517729,0.8216357526263541,0.5964907257879062,0.9846153846153847,0.3941338837471878,0.26395874208624154,15,13
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,TD3,0.07700936569968414,0.40528926949678973,0.29617781205290206,0.7502249658800276,0.5547699078033403,0.5741682671929598,0.3601153750418297,0.21826686988536875,16,14
zero_cash,momentum_winner_12p,benchmark,0.5501316104886295,0.8101012095387743,0.7795757759248522,0.6945540359654631,0.5583662107896389,0.7451754385964913,0.680253378642922,0.0,3,15
zero_cash,Equal_Weight_Risky,benchmark,0.3660421342444989,0.6582072292755923,0.4094797685070274,0.7022955327112451,0.5606886598133736,1.0,0.5347632357178977,0.0,9,15
zero_cash,risk_adjusted_momentum_winner_12p_12p,benchmark,0.1913265528577525,0.48069999237413014,0.30296706425696035,0.31727015557801663,0.44518104667340497,0.8,0.3462400051875869,0.0,17,15
zero_cash,BuyHold_BTC-USD,benchmark,0.1685161342431157,0.39712096260213636,0.28046892881056845,0.0,0.35,0.8,0.2610728185554757,0.0,18,15
zero_cash,BuyHold_TLT,benchmark,0.00084321222468,0.0,0.0,0.5220852356585315,0.5066255706975594,0.8,0.16922830608593967,0.0,19,15
bil_cash,BuyHold_GLD,benchmark,0.7703032434109172,1.0,1.0,0.8495524807074988,0.6048657442122496,0.8,0.8590104195506251,0.6787069428451181,1,1
bil_cash,rolling_markowitz_long_only_52p,benchmark,0.7434177577033395,0.9906296865027335,0.9989516674205138,0.7823391468248937,0.5847017440474681,0.9924046431970815,0.8463828766839864,0.6205389344347483,2,2
bil_cash,trend_spy_cash_12p,benchmark,0.4280202870793864,0.6755893624970457,0.5316365946856312,0.8788917823311277,0.6136675346993383,0.6530701754385966,0.5957053071518841,0.4845367506366613,4,3
bil_cash,rolling_markowitz_min_variance_52p,benchmark,0.4128309409657378,0.6873018527974696,0.37993699928540553,0.745739408125485,0.5737218224376455,1.0,0.5565301461688837,0.3894868900965547,5,4
bil_cash,BuyHold_SPY,benchmark,0.3501738021020609,0.619452384061155,0.4959606008155569,0.7567117530517947,0.5770135259155384,0.8,0.5393428531552837,0.38294388925407,7,5
bil_cash,defensive_risk_off_12p,benchmark,0.2759802825004837,0.5554574451041802,0.4483408667703216,0.8135906380271549,0.5940771914081464,0.7342105263157894,0.5017105882857228,0.38144639899323246,11,6
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,0.38036138610902936,0.6545027429630781,0.5611101233914992,0.7586707841216906,0.25892252180371617,0.655491023494001,0.5296984100769495,0.37704917464187354,9,7
bil_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,0.3516062901059137,0.6013161070639917,0.43901168525367873,0.7870985958092057,0.29747190111141875,0.7065319930268091,0.4966860246291714,0.36624299835603485,12,8
bil_cash,Equal_Weight,benchmark,0.4339858026137583,0.694631732937688,0.42735139634974284,0.7105726701225559,0.5631718010367668,0.5,0.5424954472636737,0.3613792353734329,6,9
bil_cash,risk_adjusted_momentum_winner_12p_12p,benchmark,0.0970985979445615,0.38782230193232897,0.2560381993314703,1.0,0.6499999999999999,0.337280701754386,0.38976571472384763,0.35106038506600395,16,10
bil_cash,V4_real_garch_current_cap_0p80,TD3,0.287442627704946,0.5369540920857899,0.345088195313265,0.7622167393800429,0.6352772362181707,0.6607215417362272,0.4735375574069296,0.338608943786527,13,11
bil_cash,rolling_risk_parity_inverse_vol_12p,benchmark,0.3977369218266799,0.6673695642342586,0.3590902120609257,0.6749345004410265,0.5524803501323079,1.0,0.5311012418864256,0.33467517701846555,8,12
bil_cash,V8_ewma_garch_vol_current_cap_0p70,TD3,0.2603920925243374,0.5822451015209811,0.4221961410159316,0.7186025089877631,0.10000124360622208,0.6660087719298246,0.43009681556996165,0.28988174795738814,14,13
bil_cash,60_40_SPY_TLT,benchmark,0.1123239525507901,0.4076383662218305,0.24506610087672756,0.7142192800121634,0.564265784003649,0.9846153846153847,0.3770283188179073,0.25250287517189135,17,14
bil_cash,momentum_winner_12p,benchmark,0.5968192428514958,0.8279070657800671,0.8066298825526101,0.6029166618821188,0.5308749985646356,0.7407894736842106,0.6865176353449761,0.0,3,15
bil_cash,Equal_Weight_Risky,benchmark,0.3876542036332463,0.6551313324666507,0.4093252161757266,0.6104809725871636,0.5331442917761491,1.0,0.5240741458841388,0.0,10,15
bil_cash,V5_no_volatility_block_cap_0p70,TD3,0.17191071709476405,0.46640832959123385,0.28139740544060515,0.59974142975754,0.7943663509688612,0.7544518098270464,0.40825480218666643,0.0,15,15
bil_cash,BuyHold_BTC-USD,benchmark,0.1744500921681409,0.3885151084686401,0.27822206066380917,0.0,0.35,0.8,0.26068246147693214,0.0,18,15
bil_cash,BuyHold_TLT,benchmark,0.000974237427979,0.0,0.0,0.45383054182351706,0.4861491625470551,0.8,0.15698176875662678,0.0,19,15
