protocol,strategy_name,strategy_type,base_candidate,cap_label,transaction_cost_mode,n_observations,start_date,end_date,frequency,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,average_turnover,total_transaction_cost,mean_transaction_cost,average_max_weight,average_effective_number_of_assets,mean_cash_weight,cash_above_10_rate,mean_btc_weight,mean_cash_transaction_cost_contribution,mean_btc_transaction_cost_contribution,std_sharpe,worst_max_drawdown,dsr_score,median_aligned_seed_dsr_n25,date_averaged_dsr_n25,dsr_method,n_aligned_seeds,aggregation_method,expected_seed_estimand,seed_dispersion_status,type,dsr_available,sortino_score,calmar_score,drawdown_score,stability_score,discipline_score,robust_score,mandate_bucket,recovery_required,drawdown_multiplier,mandate_aware_score,rank_mandate_aware,rank_robust,rank_sharpe
bil_cash,rolling_markowitz_long_only_52p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,1.968834214977127,0.2816893030703187,0.2241712232198908,1.2195652401357844,2.2639509476591826,1.3373607560626246,-0.2106307529911757,0.103835527210852,0.0081663902748523,3.581750120549257e-05,0.5909031333470443,1.9620232159854076,0.0,0.0,0.3171396226497573,0.0,1.8812994704157786e-05,,-0.2106307529911757,0.7434177577033395,,0.7434177577033395,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.9906296865027335,0.9989516674205138,0.7823391468248937,0.5847017440474681,0.9924046431970815,0.8463828766839864,eligible_yellow,0.2668342525241816,0.7331657474758184,0.6205389344347483,2,2,2
bil_cash,trend_spy_cash_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.49199774814912,0.0955478136492284,0.1075136622288839,0.9032336086219156,1.2965089844125814,0.6075481621453481,-0.1572678836058595,0.175438596491228,0.008,3.508771929824561e-05,1.0,1.0,0.293859649122807,0.293859649122807,0.0,1.7543859649122806e-05,0.0,,-0.1572678836058595,0.4280202870793864,,0.4280202870793864,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.6755893624970457,0.5316365946856312,0.8788917823311277,0.6136675346993383,0.6530701754385966,0.5957053071518841,clean_mandate,0.1866166965117849,0.8133833034882151,0.4845367506366613,3,4,4
bil_cash,rolling_markowitz_min_variance_52p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4332985251205647,0.0855647386178828,0.1039724348932699,0.8418310211156397,1.3324762995380712,0.370636746968185,-0.2308587567687334,0.037811013321419,0.0022532626585392,9.882730958505297e-06,0.4779684111712217,2.6479422882322448,0.0,0.0,0.017949872479618,0.0,2.9006603677768537e-06,,-0.2308587567687334,0.4128309409657378,,0.4128309409657378,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.6873018527974696,0.37993699928540553,0.745739408125485,0.5737218224376455,1.0,0.5565301461688837,eligible_yellow,0.30015131654995447,0.6998486834500455,0.3894868900965547,4,5,6
bil_cash,BuyHold_SPY,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.6698352807452723,0.1240489246586979,0.1682616180460695,0.7795225030534743,1.1241206757090594,0.5518324552358324,-0.2247945431293709,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.2247945431293709,0.3501738021020609,,0.3501738021020609,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.619452384061155,0.4959606008155569,0.7567117530517947,0.5770135259155384,0.8,0.5393428531552837,eligible_yellow,0.28998059951335703,0.7100194004866429,0.38294388925407,5,7,9
bil_cash,defensive_risk_off_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4728299967759402,0.0923217913210872,0.1404246813239968,0.6999200502562037,0.927601739354536,0.47746403946483,-0.1933586274362503,0.2368421052631578,0.0108,4.736842105263158e-05,1.0,1.0,0.131578947368421,0.131578947368421,0.0,1.4035087719298246e-05,0.0,,-0.1933586274362503,0.2759802825004837,,0.2759802825004837,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.5554574451041802,0.4483408667703216,0.8135906380271549,0.5940771914081464,0.7342105263157894,0.5017105882857228,clean_mandate,0.23970829418493403,0.760291705815066,0.38144639899323246,6,11,11
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.5367276357081017,0.0935975479630169,0.14658148536191717,0.7548847133758281,1.2317551130960722,0.6535773910140862,-0.22371182261577208,0.29206893752315805,0.018808972813662346,8.249549479676468e-05,0.7279863523074546,1.6952182753647418,0.3260836568895216,0.5671052631578948,0.075273215996107,1.6232649346105074e-05,3.0102134115179317e-05,0.46835931162968614,-0.5595453353553481,0.38036138610902936,0.38036138610902936,0.5116777521946844,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories,td3,True,0.6545027429630781,0.5611101233914992,0.7586707841216906,0.25892252180371617,0.655491023494001,0.5296984100769495,eligible_yellow,0.28818141140521936,0.7118185885947806,0.37704917464187354,7,9,10
bil_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.36526575679538725,0.06887660051656734,0.11271750611312423,0.6822958217641761,1.0684268673704067,0.4628945240371757,-0.2080002928989754,0.24186329432606518,0.016495329830522525,7.234793785316898e-05,0.6489820179189589,1.9679669826779054,0.32239791466919493,0.5741228070175438,0.05695021052209505,1.234470339565225e-05,2.9969098734956155e-05,0.4928664519170413,-0.31251852498907995,0.3516062901059137,0.3516062901059137,0.3737474230427644,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories,td3,True,0.6013161070639917,0.43901168525367873,0.7870985958092057,0.29747190111141875,0.7065319930268091,0.4966860246291714,eligible_yellow,0.2626267295733275,0.7373732704266724,0.36624299835603485,8,12,12
bil_cash,Equal_Weight,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.5883874801123843,0.1113021997378382,0.1300632895424597,0.8767629381289029,1.354985270907359,0.4446844850564,-0.2502947673645993,0.0,0.0,0.0,0.2,4.999999999999999,0.2,1.0,0.2,0.0,0.0,,-0.2502947673645993,0.4339858026137583,,0.4339858026137583,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.694631732937688,0.42735139634974284,0.7105726701225559,0.5631718010367668,0.5,0.5424954472636737,eligible_red,0.3338575702409744,0.6661424297590256,0.3613792353734329,9,6,5
bil_cash,risk_adjusted_momentum_winner_12p_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.0720864532547715,0.0160018943472748,0.0465899265861962,0.3643147207623331,0.4128191554705355,0.1771422293434176,-0.0903335946859553,0.0350877192982456,0.0016,7.017543859649123e-06,1.0,1.0,0.925438596491228,0.925438596491228,0.0,8.771929824561404e-07,0.0,,-0.0903335946859553,0.0970985979445615,,0.0970985979445615,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.38782230193232897,0.2560381993314703,1.0,0.6499999999999999,0.337280701754386,0.38976571472384763,clean_mandate,0.09930409011286875,0.9006959098871312,0.35106038506600395,10,16,18
bil_cash,V4_real_garch_current_cap_0p80,TD3,V4_real_garch_current,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.3018553416118073,0.05744237112990662,0.12132762522533261,0.5796987029534358,0.8707806951683541,0.31621287428421685,-0.2217520382317879,0.3461294784952904,0.02253207247093978,9.882487925850783e-05,0.7186073594008724,1.7235638490320135,0.34226903759385235,0.5679824561403508,0.06592190918850623,1.7052311149229078e-05,3.6998729449327785e-05,0.39654499855065145,-0.38196230004977394,0.287442627704946,0.287442627704946,0.2839855882346225,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories,td3,True,0.5369540920857899,0.345088195313265,0.7622167393800429,0.6352772362181707,0.6607215417362272,0.4735375574069296,eligible_yellow,0.28493751236811204,0.715062487631888,0.338608943786527,11,13,14
bil_cash,rolling_risk_parity_inverse_vol_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4666730638701062,0.0912786749022951,0.1119228345107243,0.8367550757865162,1.271267206891117,0.3380800229359376,-0.2699913295959265,0.0656118475912953,0.0044355795851087,1.945429642591545e-05,0.3811191436729786,3.3505000715776703,0.0,0.0,0.0947035731046872,0.0,7.914908634570646e-06,,-0.2699913295959265,0.3977369218266799,,0.3977369218266799,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.6673695642342586,0.3590902120609257,0.6749345004410265,0.5524803501323079,1.0,0.5311012418864256,eligible_red,0.3698467436646762,0.6301532563353238,0.33467517701846555,12,8,7
bil_cash,V8_ewma_garch_vol_current_cap_0p70,TD3,V8_ewma_garch_vol_current,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.3465543547515833,0.06444312449802034,0.12193597375898528,0.6544986918410602,1.0098626467365939,0.43663344949819294,-0.2458568228144319,0.34201653227950174,0.02378304172080036,0.00010431158649473843,0.641685471426198,2.0015235185512474,0.3519315669382011,0.6679824561403509,0.09719057435857764,1.6738466622824386e-05,4.488535004856351e-05,0.5231546523967716,-0.45878573338073536,0.2603920925243374,0.2603920925243374,0.3201124939198566,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories,td3,True,0.5822451015209811,0.4221961410159316,0.7186025089877631,0.10000124360622208,0.6660087719298246,0.43009681556996165,eligible_yellow,0.32600815104097297,0.6739918489590271,0.28988174795738814,13,14,13
bil_cash,60_40_SPY_TLT,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.1862703068538693,0.039726421321683,0.1249610081510866,0.3739768167772648,0.4736713406648031,0.160006947172636,-0.248279353013473,0.0,0.0,0.0,0.5999999999999998,1.9230769230769231,0.0,0.0,0.0,0.0,0.0,,-0.248279353013473,0.1123239525507901,,0.1123239525507901,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component,benchmark,True,0.4076383662218305,0.24506610087672756,0.7142192800121634,0.564265784003649,0.9846153846153847,0.3770283188179073,eligible_yellow,0.3302814070742464,0.6697185929257536,0.25250287517189135,14,17,17
