profile,strategy_name,strategy_type_old,strategy_group_old,feasible_old,failed_constraints_old,max_drawdown_pass_old,annualized_volatility_pass_old,average_effective_number_of_assets_pass_old,average_turnover_pass_old,max_drawdown_old,max_drawdown_limit_old,annualized_volatility_old,max_annualized_volatility_limit_old,average_max_weight_old,average_effective_number_of_assets_old,min_effective_assets_limit_old,average_turnover_old,max_average_turnover_limit_old,sharpe_old,calmar_old,sortino_old,annualized_return_old,protocol,strategy_type_aligned,strategy_group_aligned,feasible_aligned,failed_constraints_aligned,max_drawdown_pass_aligned,annualized_volatility_pass_aligned,average_effective_number_of_assets_pass_aligned,average_turnover_pass_aligned,max_drawdown_aligned,max_drawdown_limit_aligned,annualized_volatility_aligned,max_annualized_volatility_limit_aligned,average_max_weight_aligned,average_effective_number_of_assets_aligned,min_effective_assets_limit_aligned,average_turnover_aligned,max_average_turnover_limit_aligned,sharpe_aligned,calmar_aligned,sortino_aligned,annualized_return_aligned,feasibility_changed
aggressive,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,,False,average_turnover,True,True,True,False,-0.099121590353602,-0.25,0.1094713824088338,0.25,0.7302990015006154,1.6958209010121903,1.5,0.29918162776046,0.2,0.9457515494534038,2.1773698319797403,2.027405992718438,0.0919517728559966,zero_cash,td3,,False,average_turnover,True,True,True,False,-0.16817981761958,-0.25,0.08429722705585517,0.25,0.7292414311385291,1.700697525644915,1.5,0.3082727552705845,0.2,1.062484720081153,0.5337589477974631,1.695784358447897,0.08976748249339628,False
aggressive,V8_ewma_garch_vol_current_cap_uncapped,td3,,False,average_effective_number_of_assets;average_turnover,True,True,False,False,-0.1421979703756189,-0.25,0.1589734429341359,0.25,0.8794631310685805,1.3055786672272771,1.5,0.5256667793516613,0.2,0.4566281929567973,2.5335316278283564,2.282592684638803,0.0642222108159544,zero_cash,td3,,False,average_effective_number_of_assets;average_turnover,True,True,False,False,-0.20397413047277035,-0.25,0.11610593053679893,0.25,0.8773893414866458,1.3107241932933702,1.5,0.530399548934085,0.2,0.5254590591355164,0.27350934254188347,0.7360755928494638,0.05578883032115978,False
aggressive,defensive_risk_off_12p,benchmark,,False,average_effective_number_of_assets;average_turnover,True,True,False,False,-0.203511405183438,-0.25,0.1380562219800566,0.25,1.0,1.0,1.5,0.240275387263339,0.2,0.8383823271390108,0.5496237062692092,1.1501829397224552,0.1118546927849759,zero_cash,benchmark,,False,average_effective_number_of_assets;average_turnover,True,True,False,False,-0.18835385344648825,-0.25,0.14231637410267597,0.25,1.0,1.0,1.5,0.24561403508771928,0.2,0.6507149699585638,0.45581350850188435,0.8468444327843481,0.08585423077929355,False
aggressive,momentum_winner_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.506577646227917,-0.25,0.5495889910462232,0.25,1.0,1.0,1.5,0.4261617900172117,0.2,1.2062623545264914,1.334394566099342,2.297474864203642,0.6759744584339273,zero_cash,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.3093328814892037,-0.25,0.3614291915419867,0.25,1.0,1.0,1.5,0.45614035087719296,0.2,0.8971611533196885,0.9713956605816546,1.6398602522661376,0.3004846187538317,False
aggressive,risk_adjusted_momentum_winner_12p_12p,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.5187427891074463,-0.25,0.4474214568257495,0.25,1.0,1.0,1.5,0.4227194492254733,0.2,1.1112137169595395,0.952353588032924,2.1708848775798124,0.4940265564726829,zero_cash,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets;average_turnover,False,False,False,False,-0.49059016063546523,-0.25,0.30909878578090305,0.25,1.0,1.0,1.5,0.35964912280701755,0.2,0.5018355888550975,0.2365100068483016,0.6472036645041498,0.11602948225160326,False
aggressive,rolling_markowitz_long_only_52p,benchmark,,False,max_drawdown;annualized_volatility,False,False,True,True,-0.5319314555204867,-0.25,0.3547915647277923,0.25,0.5625331988107896,2.151609276786938,1.5,0.1094250070928901,0.2,1.1777513334562282,0.8010811202703076,2.0740224184126763,0.4261202462953668,zero_cash,benchmark,,True,,True,True,True,True,-0.21063077134628416,-0.25,0.2245106918365903,0.25,0.5909031263913668,1.9620233202532145,1.5,0.10383556675119289,0.2,1.1988242479757492,1.3112690117028711,2.2121237277382066,0.27619360337745547,True
aggressive,rolling_markowitz_min_variance_52p,benchmark,,False,max_drawdown,False,True,True,True,-0.2529442095134944,-0.25,0.1029348649891053,0.25,0.4741886159207788,2.7008363114288905,1.5,0.0341820880045678,0.2,0.93559023472112,0.3763154404813741,1.3930258912436748,0.0951868116202836,zero_cash,benchmark,,True,,True,True,True,True,-0.23085849387458168,-0.25,0.10439543275418126,0.25,0.47796827291972954,2.647942470859379,1.5,0.037810999613717804,0.2,0.8064203650326056,0.3547726501232396,1.2637392644952323,0.08190227967534502,True
aggressive,rolling_risk_parity_inverse_vol_12p,benchmark,,False,max_drawdown,False,True,True,True,-0.2946198375258965,-0.25,0.1090216441864231,0.25,0.3896577329122248,3.2624104638442755,1.5,0.0615586029733368,0.2,1.138843334682501,0.4252964838484411,1.7385796258123691,0.1253007809717627,zero_cash,benchmark,,False,max_drawdown,False,True,True,True,-0.26999140091903406,-0.25,0.11238619088106326,0.25,0.38111933621673044,3.3504992995213074,1.5,0.06561194255980307,0.2,0.7993464897270386,0.32249969632385656,1.202231112672235,0.0870721448064411,False
aggressive,trend_spy_cash_12p,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.1782271833966934,-0.25,0.1135626356435402,0.25,1.0,1.0,1.5,0.1817555938037865,0.2,0.8801689872941877,0.5491093816312629,1.2207246810270898,0.09786621846484,zero_cash,benchmark,,False,average_effective_number_of_assets,True,True,False,True,-0.16258846105371783,-0.25,0.10745378258147749,0.25,1.0,1.0,1.5,0.17543859649122806,0.2,0.8174290189188304,0.5256181277344917,1.1603290158097521,0.08545944249028747,False
conservative,60_40_SPY_TLT,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.2687347853545085,-0.1,0.1114309430873978,0.1,0.6,1.923076923076923,3.0,0.0020236087689713,0.05,0.7707570315393776,0.3083827376091735,1.099804095523805,0.0828731687984369,zero_cash,benchmark,,False,max_drawdown;annualized_volatility;average_effective_number_of_assets,False,False,False,True,-0.24827942177729057,-0.1,0.12506403956913067,0.1,0.5999999999999998,1.9230769230769234,3.0,0.0,0.05,0.3496406498886238,0.1473985162481731,0.4356431213797056,0.03659601838492699,False
