protocol,strategy_name,strategy_type,base_candidate,cap_label,transaction_cost_mode,n_observations,start_date,end_date,frequency,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,average_turnover,total_transaction_cost,mean_transaction_cost,average_max_weight,average_effective_number_of_assets,mean_cash_weight,cash_above_10_rate,mean_btc_weight,mean_cash_transaction_cost_contribution,mean_btc_transaction_cost_contribution,std_sharpe,worst_max_drawdown,dsr_score,median_aligned_seed_dsr_n25,date_averaged_dsr_n25,dsr_method,n_aligned_seeds,type,dsr_available,sortino_score,calmar_score,drawdown_score,stability_score,discipline_score,robust_score,mandate_bucket,recovery_required,drawdown_multiplier,mandate_aware_score,rank_mandate_aware,rank_robust,rank_sharpe
bil_cash,rolling_markowitz_long_only_52p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,1.968834214977127,0.2816893030703187,0.22417122321989089,1.2195652401357844,2.2639509476591826,1.3373607560626246,-0.21063075299117573,0.103835527210852,0.008166390274852305,3.581750120549257e-05,0.5909031333470443,1.9620232159854076,0.0,0.0,0.31713962264975737,0.0,1.8812994704157782e-05,0.0,-0.21063075299117573,0.7434177577033395,,0.7434177577033395,aligned_single_history_n25,1,benchmark,True,0.9906296865027335,0.9989516674205138,0.7823391468248939,0.9347017440474681,0.9924046431970815,0.8813828766839864,eligible_yellow,0.26683425252418164,0.7331657474758184,0.646199735596402,2,2,2
bil_cash,trend_spy_cash_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.49199774814912,0.09554781364922849,0.10751366222888395,0.9032336086219155,1.2965089844125814,0.6075481621453481,-0.15726788360585953,0.17543859649122806,0.008,3.508771929824561e-05,1.0,1.0,0.29385964912280704,0.29385964912280704,0.0,1.7543859649122806e-05,0.0,0.0,-0.15726788360585953,0.42802028707938644,,0.42802028707938644,aligned_single_history_n25,1,benchmark,True,0.6755893624970457,0.5316365946856311,0.8788917823311279,0.9636675346993383,0.6530701754385965,0.6307053071518842,clean_mandate,0.18661669651178492,0.8133833034882151,0.5130051662587489,3,4,5
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.5081887790597914,0.09824800749970253,0.10014368837105105,0.9865013125328427,1.5125425270219923,0.5911440827758333,-0.16619976476523235,0.29206893752315805,0.018808972813662346,8.249549479676468e-05,0.7279863523074549,1.6952182753647418,0.3260836568895217,1.0,0.07527321599610702,1.6232649346105077e-05,3.0102134115179314e-05,0.46835931162968614,-0.5595453353553481,0.38036138610902936,0.38036138610902936,0.5116777521946844,median_aligned_seed_history_n25,10,td3,True,0.7459390887290646,0.5211327014839984,0.8627307948149051,0.11862629276449538,0.43904365507294835,0.530747205127654,clean_mandate,0.19932803775047697,0.8006719622495231,0.4249544061880089,4,11,3
bil_cash,rolling_markowitz_min_variance_52p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.43329852512056477,0.08556473861788283,0.10397243489326992,0.8418310211156397,1.3324762995380712,0.370636746968185,-0.23085875676873346,0.03781101332141901,0.0022532626585392073,9.882730958505295e-06,0.4779684111712217,2.6479422882322448,0.0,0.0,0.017949872479618087,0.0,2.9006603677768537e-06,0.0,-0.23085875676873346,0.41283094096573786,,0.41283094096573786,aligned_single_history_n25,1,benchmark,True,0.6873018527974696,0.37993699928540553,0.745739408125485,0.9237218224376454,1.0,0.5915301461688838,eligible_yellow,0.3001513165499545,0.6998486834500455,0.4139815940173063,5,5,7
bil_cash,defensive_risk_off_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4728299967759402,0.0923217913210872,0.14042468132399683,0.6999200502562037,0.927601739354536,0.47746403946483007,-0.19335862743625032,0.23684210526315788,0.0108,4.736842105263158e-05,1.0,1.0,0.13157894736842105,0.13157894736842105,0.0,1.4035087719298246e-05,0.0,0.0,-0.19335862743625032,0.2759802825004837,,0.2759802825004837,aligned_single_history_n25,1,benchmark,True,0.5554574451041802,0.44834086677032164,0.813590638027155,0.9440771914081465,0.7342105263157894,0.5367105882857228,clean_mandate,0.23970829418493408,0.7602917058150659,0.40805660869675975,6,10,13
bil_cash,BuyHold_SPY,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.6698352807452723,0.12404892465869799,0.16826161804606957,0.7795225030534743,1.1241206757090594,0.5518324552358324,-0.22479454312937097,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22479454312937097,0.35017380210206095,,0.35017380210206095,aligned_single_history_n25,1,benchmark,True,0.619452384061155,0.4959606008155568,0.7567117530517947,0.9270135259155383,0.8,0.5743428531552838,eligible_yellow,0.2899805995133572,0.7100194004866428,0.4077945682711025,7,7,11
bil_cash,Equal_Weight,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.5883874801123843,0.11130219973783828,0.1300632895424597,0.8767629381289029,1.354985270907359,0.4446844850564,-0.2502947673645993,0.0,0.0,0.0,0.2,4.999999999999999,0.2,1.0,0.2,0.0,0.0,0.0,-0.2502947673645993,0.4339858026137583,,0.4339858026137583,aligned_single_history_n25,1,benchmark,True,0.694631732937688,0.42735139634974284,0.710572670122556,0.9131718010367668,0.5,0.5774954472636737,eligible_red,0.3338575702409744,0.6661424297590256,0.38469422041499884,8,6,6
bil_cash,risk_adjusted_momentum_winner_12p_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.07208645325477159,0.016001894347274837,0.04658992658619624,0.3643147207623331,0.4128191554705355,0.1771422293434176,-0.09033359468595537,0.03508771929824561,0.0016,7.017543859649123e-06,1.0,1.0,0.9254385964912281,0.9254385964912281,0.0,8.771929824561404e-07,0.0,0.0,-0.09033359468595537,0.0970985979445615,,0.0970985979445615,aligned_single_history_n25,1,benchmark,True,0.38782230193232897,0.2560381993314703,1.0,1.0,0.33728070175438596,0.4247657147238476,clean_mandate,0.09930409011286885,0.9006959098871311,0.3825847419120535,9,15,18
bil_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,TD3,V3_real_macro_vintage_clean_no_dxy,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.3471948039857349,0.07033373502304463,0.08859914508206367,0.8117810891720456,1.2092382406637714,0.376772289790757,-0.18667438378258905,0.24186329432606518,0.01649532983052253,7.234793785316899e-05,0.6489820179189589,1.9679669826779054,0.3223979146691949,1.0,0.056950210522095056,1.2344703395652246e-05,2.996909873495616e-05,0.4928664519170413,-0.31251852498907995,0.3516062901059137,0.3516062901059137,0.3737474230427644,median_aligned_seed_history_n25,10,td3,True,0.6471702899000941,0.38386572244570116,0.8256848403922251,0.21992296625302715,0.4935933965355811,0.48221378201184867,clean_mandate,0.22951986272210184,0.7704801372778982,0.37153614096178367,10,12,10
bil_cash,rolling_risk_parity_inverse_vol_12p,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4666730638701062,0.09127867490229513,0.11192283451072436,0.8367550757865162,1.271267206891117,0.3380800229359376,-0.26999132959592653,0.06561184759129535,0.004435579585108723,1.945429642591545e-05,0.38111914367297867,3.3505000715776703,0.0,0.0,0.09470357310468726,0.0,7.914908634570646e-06,0.0,-0.26999132959592653,0.39773692182667997,,0.39773692182667997,aligned_single_history_n25,1,benchmark,True,0.6673695642342586,0.3590902120609257,0.6749345004410265,0.9024803501323079,1.0,0.5661012418864256,eligible_red,0.3698467436646763,0.6301532563353237,0.35673054099020185,11,8,8
