protocol,strategy_name,strategy_type,sharpe,calmar,sortino,annualized_return,max_drawdown,average_turnover,mean_transaction_cost,average_effective_number_of_assets,average_max_weight,rank_by_sharpe,rank_by_calmar,rank_by_sortino,rank_by_max_drawdown,rank_by_turnover,rank_by_effective_assets,rank_by_average_max_weight
bil_cash,rolling_markowitz_long_only_52p,benchmark,1.2195652401357844,1.3373607560626246,2.2639509476591826,0.2816893030703187,-0.21063075299117573,0.103835527210852,3.581750120549257e-05,1.9620232159854076,0.5909031333470443,2,2,2,9,11,7,5
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,td3,0.9865013125328427,0.5911440827758333,1.5125425270219923,0.09824800749970253,-0.16619976476523235,0.29206893752315805,8.249549479676468e-05,1.6952182753647418,0.7279863523074549,3,5,4,3,15,11,11
bil_cash,momentum_winner_12p,benchmark,0.9426637496448051,1.0370090899804274,1.7642539893303615,0.321259470958446,-0.30979426705363733,0.4298245614035088,0.00019473684210526314,1.0,1.0,4,3,3,17,19,12,12
bil_cash,trend_spy_cash_12p,benchmark,0.9032336086219155,0.6075481621453481,1.2965089844125814,0.09554781364922849,-0.15726788360585953,0.17543859649122806,3.508771929824561e-05,1.0,1.0,5,4,7,2,12,12,12
bil_cash,Equal_Weight,benchmark,0.8767629381289029,0.4446844850564,1.354985270907359,0.11130219973783828,-0.2502947673645993,0.0,0.0,4.999999999999999,0.2,6,8,5,13,1,1,1
bil_cash,rolling_markowitz_min_variance_52p,benchmark,0.8418310211156397,0.370636746968185,1.3324762995380712,0.08556473861788283,-0.23085875676873346,0.03781101332141901,9.882730958505295e-06,2.6479422882322448,0.4779684111712217,7,11,6,11,9,4,4
bil_cash,rolling_risk_parity_inverse_vol_12p,benchmark,0.8367550757865162,0.3380800229359376,1.271267206891117,0.09127867490229513,-0.26999132959592653,0.06561184759129535,1.945429642591545e-05,3.3505000715776703,0.38111914367297867,8,13,8,14,10,3,3
bil_cash,Equal_Weight_Risky,benchmark,0.8190831900245825,0.41653274316152106,1.2336854179398467,0.1272980758925497,-0.30561361137265186,0.0,0.0,4.0,0.25,9,9,9,16,1,2,2
bil_cash,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,0.8117810891720456,0.376772289790757,1.2092382406637714,0.07033373502304463,-0.18667438378258905,0.24186329432606518,7.234793785316899e-05,1.9679669826779054,0.6489820179189589,10,10,10,6,14,6,8
bil_cash,BuyHold_SPY,benchmark,0.7795225030534743,0.5518324552358324,1.1241206757090594,0.12404892465869799,-0.22479454312937097,0.0,0.0,1.0,1.0,11,6,11,10,1,12,12
bil_cash,V8_ewma_garch_vol_current_cap_0p70,td3,0.7481593870288953,0.3587159309500794,1.0685898671856306,0.06684267252712361,-0.18633873424602865,0.34201653227950185,0.00010431158649473843,2.0015235185512474,0.6416854714261979,12,12,12,5,17,5,7
bil_cash,defensive_risk_off_12p,benchmark,0.6999200502562037,0.47746403946483007,0.927601739354536,0.0923217913210872,-0.19335862743625032,0.23684210526315788,4.736842105263158e-05,1.0,1.0,13,7,14,8,13,12,12
bil_cash,V4_real_garch_current_cap_0p80,td3,0.6789487281868858,0.31311676997108767,1.0148073918730194,0.06015670662345807,-0.19212227639232726,0.3461294784952904,9.882487925850781e-05,1.7235638490320135,0.7186073594008724,14,14,13,7,18,10,10
bil_cash,V5_no_volatility_block_cap_0p70,td3,0.5862755863272554,0.19548713297412462,0.7554643637928475,0.05645365215160969,-0.28878449078836355,0.33456481001436567,9.414746494664521e-05,1.9487941368545303,0.6549660611082608,15,16,15,15,16,8,9
bil_cash,BuyHold_BTC-USD,benchmark,0.5029295440009841,0.21178708102197757,0.4149466612676246,0.1361823205881858,-0.6430152393197859,0.0,0.0,1.0,1.0,16,15,17,19,1,12,12
bil_cash,60_40_SPY_TLT,benchmark,0.3739768167772648,0.160006947172636,0.4736713406648031,0.039726421321683025,-0.24827935301347304,0.0,0.0,1.9230769230769234,0.5999999999999998,17,18,16,12,1,9,6
bil_cash,risk_adjusted_momentum_winner_12p_12p,benchmark,0.3643147207623331,0.1771422293434176,0.4128191554705355,0.016001894347274837,-0.09033359468595537,0.03508771929824561,7.017543859649123e-06,1.0,1.0,18,17,18,1,8,12,12
bil_cash,BuyHold_TLT,benchmark,-0.5283992618658764,-0.22271626720034457,-0.7781254334686712,-0.08734741111259992,-0.39219142907970206,0.0,0.0,1.0,1.0,19,19,19,18,1,12,12
