protocol,strategy_name,strategy_type,dsr_score,sortino_score,calmar_score,drawdown_score,stability_score,discipline_score,robust_score,mandate_aware_score,rank_robust,rank_mandate_aware
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,TD3,0.07700936569968414,0.5101910789489111,0.3269629139893656,0.9138564474519518,0.30844719588724356,0.35048405666664406,0.37598099783740996,0.2796394088966916,17,13
zero_cash,V5_no_volatility_block_cap_0p50,TD3,0.2070326524268207,0.5411033315550752,0.2900460345593416,0.8102628542848912,0.40438117907640087,0.513157894736842,0.4159751097381454,0.27453466639787133,15,14
zero_cash,momentum_winner_12p,benchmark,0.5501316104886295,0.8101012095387743,0.7795757759248523,0.6945540359654631,0.9083662107896389,0.7451754385964913,0.715253378642922,0.0,3,15
zero_cash,Equal_Weight_Risky,benchmark,0.3660421342444989,0.6582072292755923,0.4094797685070275,0.702295532711245,0.9106886598133734,1.0,0.5697632357178978,0.0,8,15
zero_cash,risk_adjusted_momentum_winner_12p_12p,benchmark,0.19132655285775257,0.48069999237413014,0.30296706425696035,0.3172701555780165,0.795181046673405,0.8,0.38124000518758683,0.0,16,15
zero_cash,BuyHold_BTC-USD,benchmark,0.16851613424311573,0.39712096260213636,0.2804689288105685,0.0,0.7,0.8,0.29607281855547574,0.0,18,15
zero_cash,BuyHold_TLT,benchmark,0.0008432122246800899,0.0,0.0,0.5220852356585313,0.8566255706975593,0.8,0.20422830608593964,0.0,19,15
bil_cash,BuyHold_GLD,benchmark,0.7703032434109172,1.0,1.0,0.8495524807074989,0.9548657442122497,0.8,0.8940104195506251,0.70636055735192,1,1
bil_cash,rolling_markowitz_long_only_52p,benchmark,0.7434177577033395,0.9906296865027335,0.9989516674205138,0.7823391468248939,0.9347017440474681,0.9924046431970815,0.8813828766839864,0.646199735596402,2,2
bil_cash,trend_spy_cash_12p,benchmark,0.42802028707938644,0.6755893624970457,0.5316365946856311,0.8788917823311279,0.9636675346993383,0.6530701754385965,0.6307053071518842,0.5130051662587489,4,3
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,0.38036138610902936,0.7459390887290646,0.5211327014839984,0.8627307948149051,0.11862629276449538,0.43904365507294835,0.530747205127654,0.4249544061880089,11,4
bil_cash,rolling_markowitz_min_variance_52p,benchmark,0.41283094096573786,0.6873018527974696,0.37993699928540553,0.745739408125485,0.9237218224376454,1.0,0.5915301461688838,0.4139815940173063,5,5
bil_cash,defensive_risk_off_12p,benchmark,0.2759802825004837,0.5554574451041802,0.44834086677032164,0.813590638027155,0.9440771914081465,0.7342105263157894,0.5367105882857228,0.40805660869675975,10,6
bil_cash,BuyHold_SPY,benchmark,0.35017380210206095,0.619452384061155,0.4959606008155568,0.7567117530517947,0.9270135259155383,0.8,0.5743428531552838,0.4077945682711025,7,7
bil_cash,Equal_Weight,benchmark,0.4339858026137583,0.694631732937688,0.42735139634974284,0.710572670122556,0.9131718010367668,0.5,0.5774954472636737,0.38469422041499884,6,8
bil_cash,risk_adjusted_momentum_winner_12p_12p,benchmark,0.0970985979445615,0.38782230193232897,0.2560381993314703,1.0,1.0,0.33728070175438596,0.4247657147238476,0.3825847419120535,15,9
