protocol,candidate,metric,mean_of_seed_metrics,median_of_seed_metrics,std_of_seed_metrics,minimum_of_seed_metrics,maximum_of_seed_metrics,p10_of_seed_metrics,p90_of_seed_metrics,n_seeds,metric_of_mean_path,metric_of_median_return_path,difference,relative_difference,primary_value,primary_method
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,sharpe,0.6809663574928227,0.5662875057098833,0.42251434399807836,0.07934872638279994,1.451702049229967,0.27398176825375953,1.1027683482610147,10,1.062484720081153,1.079085945847262,0.38151836258833016,0.5602602219484114,0.6809663574928227,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,sortino,1.0854099699868025,0.807641663766789,0.8268572115431423,0.0391649977230555,2.4821185240921344,0.32427029351356185,2.200719130879732,10,1.695784358447897,1.735879724482517,0.6103743884610946,0.5623445567470844,1.0854099699868025,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,calmar,0.4726479479472003,0.24306045038805965,0.4726376737451476,0.011978022839994204,1.53809609356855,0.12900053105391995,0.966213440404929,10,0.5337589477974631,0.4500987134019695,0.06111099985026286,0.12929496492194567,0.4726479479472003,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,max_drawdown,-0.21139754829846505,-0.21083300791520942,0.043224480196343326,-0.30162555315410544,-0.14453913953443986,-0.24430587601813314,-0.16757885434169542,10,-0.16817981761958,-0.1800567457083475,0.04321773067888504,0.20443818306666162,-0.21139754829846505,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,average_turnover,0.30827275527058445,0.31651259805233545,0.048055770743289324,0.20492334664942682,0.3657680363806299,0.2628640417138798,0.36133763435314015,10,0.3082727552705845,,5.551115123125783e-17,1.8007154470246087e-16,0.30827275527058445,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,total_transaction_cost,0.014696843671449555,0.014578997064014271,0.003302242565722115,0.008478900894850691,0.020073325648877614,0.011459508087552,0.017450049867305105,10,0.014696843671449555,,0.0,0.0,0.014696843671449555,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,mean_transaction_cost,6.445984066425243e-05,6.394296957900995e-05,1.4483520025096996e-05,3.7188161819520576e-05,8.804090196876147e-05,5.026100038400001e-05,7.653530643554871e-05,10,6.445984066425243e-05,,0.0,0.0,6.445984066425243e-05,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,average_max_weight,0.7292414311385291,0.7267360488734289,0.017942822007060877,0.7078759735884537,0.7545335881229986,0.7094271791779361,0.7531638014736446,10,0.7292414311385291,,0.0,0.0,0.7292414311385291,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,average_effective_number_of_assets,1.7006975256449153,1.7117854078755768,0.052409484199028286,1.6370478064101284,1.7920098023754771,1.6382987636653783,1.7503168628651704,10,1.700697525644915,,-2.220446049250313e-16,-1.3056090314521425e-16,1.7006975256449153,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,mean_cash_weight,0.3415460567250154,0.3226647458922938,0.14005906258800993,0.12095246580914205,0.5432119799082654,0.207564634909518,0.5304112677645498,10,0.3415460567250154,,0.0,0.0,0.3415460567250154,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,cash_above_10_rate,0.5565789473684211,0.5021929824561404,0.20978844457624363,0.2850877192982456,0.8947368421052632,0.37192982456140355,0.8592105263157894,10,0.9868421052631579,,0.4302631578947368,0.7730496453900708,0.5565789473684211,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,mean_btc_weight,0.0581269418467252,0.02632015420445239,0.0681243155859601,0.017189646049929147,0.1895338324979125,0.017521866665084217,0.18385037472741889,10,0.058126941846725205,,6.938893903907228e-18,1.1937483176397586e-16,0.0581269418467252,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,mean_cash_transaction_cost_contribution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,,0.0,,0.0,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,mean_btc_transaction_cost_contribution,2.3974127127622134e-05,2.186077163509107e-05,1.1890123280923989e-05,1.2472220645158943e-05,5.0185715134134576e-05,1.3876004886446146e-05,4.011677451816383e-05,10,2.3974127127622134e-05,,0.0,0.0,2.3974127127622134e-05,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,dsr_score,0.34296688489640403,0.21229828557507802,0.2919397406160963,0.03354118826672736,0.8376729389151552,0.07900748639386389,0.7467832762609524,10,0.21229828557507802,,-0.13066859932132602,-0.3809947988441961,0.34296688489640403,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,cumulative_return,0.2579953162043174,0.14211701733739368,0.33432673103221294,-0.14317097989844807,0.927203285942084,-0.03348423970854505,0.6881259782280232,10,0.26875087138925235,0.33549568552805087,0.010755555184934928,0.04168895522280392,0.2579953162043174,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,annualized_return,0.048248478954693676,0.030743283086218542,0.06094854619022626,-0.034626971427049846,0.16140441108883863,-0.007870541876424851,0.12663911525491053,10,0.05578883032115978,0.06820671712167758,0.007540351366466101,0.15628163892061028,0.048248478954693676,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,annualized_volatility,0.17401530089892564,0.17779995539864496,0.02455638238762844,0.13566022431436917,0.21489462084729097,0.1422983445067724,0.1969286095755692,10,0.11610593053679893,0.10801434607121418,-0.057909370362126705,-0.3327832096544347,0.17401530089892564,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,sharpe,0.33167020380509826,0.27152138205975374,0.3227993998833816,-0.1748654856658842,0.9211595299837699,0.043970180350235595,0.7306284961866367,10,0.5254590591355164,0.6648830857645336,0.19378885533041812,0.5842817748087363,0.33167020380509826,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,sortino,0.4199520729756645,0.2963082778034607,0.5342270136078971,-0.328176381286766,1.3904067317320377,-0.06560314080522175,1.1505286500199632,10,0.7360755928494638,0.98241099184176,0.3161235198737993,0.752760946347604,0.4199520729756645,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,calmar,0.22604162068120903,0.1312720721009754,0.2863055425696293,-0.11705518025232567,0.7223922470156822,-0.022362265494120473,0.6662714014665647,10,0.27350934254188347,0.4282887936828927,0.04746772186067444,0.2099954942705844,0.22604162068120903,mean_of_metrics_across_ten_full_oos_seed_histories
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,max_drawdown,-0.2825870759872734,-0.23574931786945147,0.08708301376832696,-0.41362007935239653,-0.18601462760449217,-0.4017402244445859,-0.2127315800313633,10,-0.20397413047277035,-0.1592540316900708,0.07861294551450304,0.27819016577404787,-0.2825870759872734,mean_of_metrics_across_ten_full_oos_seed_histories
