protocol,date,observation_number
bil_cash,2022-06-24,25
bil_cash,2022-07-01,26
bil_cash,2022-07-08,27
bil_cash,2022-07-15,28
bil_cash,2022-07-22,29
bil_cash,2022-07-29,30
bil_cash,2022-08-05,31
bil_cash,2022-08-12,32
bil_cash,2022-08-19,33
bil_cash,2022-08-26,34
bil_cash,2022-09-02,35
bil_cash,2022-09-09,36
bil_cash,2022-09-16,37
bil_cash,2022-09-23,38
bil_cash,2022-09-30,39
bil_cash,2022-10-07,40
bil_cash,2022-10-14,41
bil_cash,2022-10-21,42
bil_cash,2022-10-28,43
bil_cash,2022-11-04,44
bil_cash,2022-11-11,45
bil_cash,2022-11-18,46
bil_cash,2022-11-25,47
bil_cash,2022-12-02,48
bil_cash,2022-12-09,49
bil_cash,2022-12-16,50
bil_cash,2022-12-23,51
bil_cash,2022-12-30,52
bil_cash,2023-01-06,53
bil_cash,2023-01-13,54
bil_cash,2023-01-20,55
bil_cash,2023-01-27,56
bil_cash,2023-02-03,57
bil_cash,2023-02-10,58
bil_cash,2023-02-17,59
bil_cash,2023-02-24,60
bil_cash,2023-03-03,61
bil_cash,2023-03-10,62
bil_cash,2023-03-17,63
bil_cash,2023-03-24,64
bil_cash,2023-03-31,65
bil_cash,2023-04-07,66
bil_cash,2023-04-14,67
bil_cash,2023-04-21,68
bil_cash,2023-04-28,69
bil_cash,2023-05-05,70
bil_cash,2023-05-12,71
bil_cash,2023-05-19,72
bil_cash,2023-05-26,73
bil_cash,2023-06-02,74
bil_cash,2023-06-09,75
bil_cash,2023-06-16,76
bil_cash,2023-06-23,77
bil_cash,2023-06-30,78
bil_cash,2023-07-07,79
bil_cash,2023-07-14,80
bil_cash,2023-07-21,81
bil_cash,2023-07-28,82
bil_cash,2023-08-04,83
bil_cash,2023-08-11,84
bil_cash,2023-08-18,85
bil_cash,2023-08-25,86
bil_cash,2023-09-01,87
bil_cash,2023-09-08,88
bil_cash,2023-09-15,89
bil_cash,2023-09-22,90
bil_cash,2023-09-29,91
bil_cash,2023-10-06,92
bil_cash,2023-10-13,93
bil_cash,2023-10-20,94
bil_cash,2023-10-27,95
bil_cash,2023-11-03,96
bil_cash,2023-11-10,97
bil_cash,2023-11-17,98
bil_cash,2023-11-24,99
bil_cash,2023-12-01,100
bil_cash,2023-12-08,101
bil_cash,2023-12-15,102
bil_cash,2023-12-22,103
bil_cash,2023-12-29,104
bil_cash,2024-01-05,105
bil_cash,2024-01-12,106
bil_cash,2024-01-19,107
bil_cash,2024-01-26,108
bil_cash,2024-02-02,109
bil_cash,2024-02-09,110
bil_cash,2024-02-16,111
bil_cash,2024-02-23,112
bil_cash,2024-03-01,113
bil_cash,2024-03-08,114
bil_cash,2024-03-15,115
bil_cash,2024-03-22,116
bil_cash,2024-03-29,117
bil_cash,2024-04-05,118
bil_cash,2024-04-12,119
bil_cash,2024-04-19,120
bil_cash,2024-04-26,121
bil_cash,2024-05-03,122
bil_cash,2024-05-10,123
bil_cash,2024-05-17,124
bil_cash,2024-05-24,125
bil_cash,2024-05-31,126
bil_cash,2024-06-07,127
bil_cash,2024-06-14,128
bil_cash,2024-06-21,129
bil_cash,2024-06-28,130
bil_cash,2024-07-05,131
