protocol,strategy_name,strategy_type,base_candidate,cap_label,transaction_cost_mode,n_observations,start_date,end_date,frequency,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,average_turnover,total_transaction_cost,mean_transaction_cost,average_max_weight,average_effective_number_of_assets,mean_cash_weight,cash_above_10_rate,mean_btc_weight,mean_cash_transaction_cost_contribution,mean_btc_transaction_cost_contribution,std_sharpe,worst_max_drawdown,dsr_score,median_aligned_seed_dsr_n25,date_averaged_dsr_n25,dsr_method,n_aligned_seeds,seed,aggregation_stage
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.24243246026478005,0.05075341853781046,0.16953152099605043,0.37666975783791445,0.4339611915683547,0.16826630902813364,-0.30162555315410544,0.3090803044074631,0.020073325648877614,8.804090196876147e-05,0.7170354230959389,1.745684314030692,0.2171882092540042,0.38596491228070173,0.18321887941958626,0.0,5.0185715134134576e-05,0.0,-0.30162555315410544,0.11258488494803398,,0.11258488494803398,aligned_single_history_n25,1,42,metric_computed_before_cross_seed_aggregation
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.5031155263530431,0.09740435360462918,0.10278498020675565,0.9563994900039263,1.4238709793188475,0.5724992807957515,-0.1701388226536127,0.2693018967210412,0.011790686664518813,5.17135380022755e-05,0.7117274948971443,1.716368355928207,0.3095041907891905,0.44298245614035087,0.017189646049929147,0.0,1.2472220645158943e-05,0.0,-0.1701388226536127,0.4701739346431331,,0.4701739346431331,aligned_single_history_n25,1,84,metric_computed_before_cross_seed_aggregation
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.23836946307602114,0.04996873974907623,0.12224835531007137,0.4600728147025016,0.5964867492279227,0.22450422906305795,-0.22257371256485858,0.33423919852510836,0.014530997222017707,6.373244395621801e-05,0.7303420376550221,1.7072024598229465,0.30406452176029664,0.5394736842105263,0.02264952318820496,0.0,1.89039966773921e-05,0.0,-0.22257371256485858,0.14767606574858094,,0.14767606574858094,aligned_single_history_n25,1,101,metric_computed_before_cross_seed_aggregation
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.9591374478823393,0.16576575719615794,0.10994466404798385,1.451702049229967,2.4821185240921344,0.902670923386749,-0.1836391899876625,0.36084536746119683,0.01701111259639625,7.461014296665022e-05,0.7078759735884537,1.7920098023754771,0.22194561707033433,0.3815789473684211,0.033113540085720705,0.0,2.2424583443174295e-05,0.0,-0.1836391899876625,0.8376729389151552,,0.8376729389151552,aligned_single_history_n25,1,123,metric_computed_before_cross_seed_aggregation
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,1.4113745706760743,0.2223150858856815,0.22632931607569767,0.9932901265141313,2.1694525316339095,1.53809609356855,-0.14453913953443986,0.27698374791985253,0.012606878044030028,5.5293324754517664e-05,0.7530116029570497,1.6384377589159616,0.3517106029767731,0.5657894736842105,0.1895338324979125,0.0,2.420945236946172e-05,0.0,-0.14453913953443986,0.7366844248549299,,0.7366844248549299,aligned_single_history_n25,1,202,metric_computed_before_cross_seed_aggregation
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.012556627257507058,0.002850015096010461,0.10538014202531336,0.07934872638279994,0.0391649977230555,0.011978022839994204,-0.2379370230030251,0.30480667486646973,0.016999321501372698,7.455842763759955e-05,0.7545335881229986,1.6370478064101284,0.5289889664152481,0.75,0.04506785337973351,0.0,3.8998003338611534e-05,0.0,-0.2379370230030251,0.03354118826672736,,0.03354118826672736,aligned_single_history_n25,1,303,metric_computed_before_cross_seed_aggregation
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.13002598822943745,0.028271710704919073,0.11758382775667207,0.29560766179497727,0.355948659712507,0.14200303196657837,-0.19909230326556027,0.3239448916972078,0.013691642455957203,6.0051063403321064e-05,0.7430378139726626,1.656561531590663,0.33582530099539715,0.4649122807017544,0.020297055370491993,0.0,1.4391613791088163e-05,0.0,-0.19909230326556027,0.08405929729687905,,0.08405929729687905,aligned_single_history_n25,1,404,metric_computed_before_cross_seed_aggregation
zero_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.8133913982134595,0.14539217935937265,0.1364359070820628,1.0639979370422423,1.7378127390577165,0.7346359137777024,-0.19791052497246642,0.3657680363806299,0.017158574780463717,7.525690693185842e-05,0.7095995353545452,1.7420077861980947,0.12095246580914205,0.2850877192982456,0.017558780066768115,0.0,2.1296959827007846e-05,0.0,-0.19791052497246642,0.5826795431404451,,0.5826795431404451,aligned_single_history_n25,1,505,metric_computed_before_cross_seed_aggregation
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,TD3,V8_ewma_garch_vol_current,uncapped,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.4609367664940869,0.09030377704495285,0.21489462084729097,0.5087064932717278,0.670913465465522,0.39780733272059227,-0.2270038021354912,0.4726176162816859,0.04109600584649625,0.00018024563967761515,0.8814432033766183,1.304203845190823,0.07820993808921042,0.11842105263157894,0.1784958867038351,0.0,0.00012053482422167196,0.0,-0.2270038021354912,0.1786635607021544,,0.1786635607021544,aligned_single_history_n25,1,7,metric_computed_before_cross_seed_aggregation
zero_cash,V8_ewma_garch_vol_current_cap_uncapped,TD3,V8_ewma_garch_vol_current,uncapped,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.005873652791173578,0.0013365785990444579,0.1527760516815322,0.08711662350719442,0.011252146116946323,0.0033379396534885036,-0.4004202405659403,0.42048804393300643,0.02768274980378587,0.00012141556931485031,0.888800222240892,1.2807469346987723,0.5191637187801547,0.6447368421052632,0.15019856127292322,0.0,8.678440704157055e-05,0.0,-0.4004202405659403,0.0345934390635072,,0.0345934390635072,aligned_single_history_n25,1,21,metric_computed_before_cross_seed_aggregation
