protocol,strategy_name,strategy_type,base_candidate,cap_label,transaction_cost_mode,n_observations,start_date,end_date,frequency,cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,calmar,max_drawdown,average_turnover,total_transaction_cost,mean_transaction_cost,average_max_weight,average_effective_number_of_assets,mean_cash_weight,cash_above_10_rate,mean_btc_weight,mean_cash_transaction_cost_contribution,mean_btc_transaction_cost_contribution,std_sharpe,worst_max_drawdown,dsr_score,median_aligned_seed_dsr_n25,date_averaged_dsr_n25,dsr_method,n_aligned_seeds,aggregation_method,expected_seed_estimand,seed_dispersion_status
bil_cash,V4_real_garch_current_cap_0p80,TD3,V4_real_garch_current,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.3018553416118073,0.05744237112990662,0.12132762522533261,0.5796987029534358,0.8707806951683541,0.31621287428421685,-0.2217520382317879,0.3461294784952904,0.02253207247093978,9.882487925850783e-05,0.7186073594008724,1.7235638490320135,0.34226903759385235,0.5679824561403508,0.06592190918850623,1.7052311149229078e-05,3.6998729449327785e-05,0.39654499855065145,-0.38196230004977394,0.287442627704946,0.287442627704946,0.2839855882346225,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories
bil_cash,V5_no_volatility_block_cap_0p70,TD3,V5_no_volatility_block,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.27926364710558865,0.05398910917962425,0.12985712356100038,0.48589112749418356,0.6541451543630137,0.21674606211063127,-0.3115491595663437,0.3345648100143657,0.021465622007835104,9.41474649466452e-05,0.654966061108261,1.9487941368545303,0.2363157508483522,0.4706140350877194,0.04549516148215209,1.4776496710580292e-05,3.404312867973125e-05,0.343594005693679,-0.4691667391479075,0.17191071709476405,0.17191071709476405,0.20619166919816623,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories
bil_cash,V7_real_macro_vintage_clean_no_dxy_garch_cap_0p80,TD3,V7_real_macro_vintage_clean_no_dxy_garch,0p80,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.5367276357081017,0.0935975479630169,0.14658148536191717,0.7548847133758281,1.2317551130960722,0.6535773910140862,-0.22371182261577208,0.29206893752315805,0.018808972813662346,8.249549479676468e-05,0.7279863523074546,1.6952182753647418,0.3260836568895216,0.5671052631578948,0.075273215996107,1.6232649346105074e-05,3.0102134115179317e-05,0.46835931162968614,-0.5595453353553481,0.38036138610902936,0.38036138610902936,0.5116777521946844,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories
bil_cash,V8_ewma_garch_vol_current_cap_0p70,TD3,V8_ewma_garch_vol_current,0p70,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.3465543547515833,0.06444312449802034,0.12193597375898528,0.6544986918410602,1.0098626467365939,0.43663344949819294,-0.2458568228144319,0.34201653227950174,0.02378304172080036,0.00010431158649473843,0.641685471426198,2.0015235185512474,0.3519315669382011,0.6679824561403509,0.09719057435857764,1.6738466622824386e-05,4.488535004856351e-05,0.5231546523967716,-0.45878573338073536,0.2603920925243374,0.2603920925243374,0.3201124939198566,median_dsr_across_full_oos_seed_histories_n25,10,mean_of_metrics_across_ten_full_oos_seed_histories,True,observed_across_ten_full_oos_seed_histories
bil_cash,60_40_SPY_TLT,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.1862703068538693,0.039726421321683,0.1249610081510866,0.3739768167772648,0.4736713406648031,0.160006947172636,-0.248279353013473,0.0,0.0,0.0,0.5999999999999998,1.9230769230769231,0.0,0.0,0.0,0.0,0.0,,-0.248279353013473,0.1123239525507901,,0.1123239525507901,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component
bil_cash,BuyHold_BTC-USD,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.7503232963148998,0.1361823205881858,0.5131067754295661,0.5029295440009841,0.4149466612676246,0.2117870810219775,-0.6430152393197859,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,-0.6430152393197859,0.1744500921681409,,0.1744500921681409,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component
bil_cash,BuyHold_GLD,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,1.4988884808017944,0.2322936188088433,0.1654320005729825,1.3474054884786069,2.2927257862918013,1.3389979519584156,-0.1734831770796148,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.1734831770796148,0.7703032434109172,,0.7703032434109172,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component
bil_cash,BuyHold_SPY,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.6698352807452723,0.1240489246586979,0.1682616180460695,0.7795225030534743,1.1241206757090594,0.5518324552358324,-0.2247945431293709,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.2247945431293709,0.3501738021020609,,0.3501738021020609,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component
bil_cash,BuyHold_TLT,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,-0.3301850429877968,-0.0873474111125999,0.1512384330258224,-0.5283992618658764,-0.7781254334686712,-0.2227162672003445,-0.392191429079702,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,-0.392191429079702,0.000974237427979,,0.000974237427979,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component
bil_cash,Equal_Weight_Risky,benchmark,,,asset_specific,228,2022-01-07,2026-05-15,weekly Friday,0.6911026606941333,0.1272980758925497,0.1624407599572301,0.8190831900245825,1.2336854179398469,0.416532743161521,-0.3056136113726518,0.0,0.0,0.0,0.25,4.0,0.0,0.0,0.25,0.0,0.0,,-0.3056136113726518,0.3876542036332463,,0.3876542036332463,aligned_single_history_n25,1,single_deterministic_aligned_history,,not_observed_neutral_not_zero_in_stability_component
