protocol,profile,strategy_name,strategy_type,strategy_group,base_candidate,feature_family,constraint_status,robust_score,original_mandate_aware_score,profile_score,profile_multiplier,profile_eligible,failed_constraints,annualized_return,annualized_volatility,sharpe,max_drawdown,average_turnover,average_effective_number_of_assets,average_max_weight,max_drawdown_limit,max_annualized_volatility_limit,min_effective_assets,max_average_turnover_limit,drawdown_pass,volatility_pass,effective_assets_pass,turnover_pass,drawdown_multiplier,volatility_multiplier,effective_assets_multiplier,turnover_multiplier,profile_rank,profile_eligible_rank
zero_cash,conservative,Equal_Weight,benchmark,,,,,0.5302576816556425,0.35227987343440254,0.16204060418541358,0.30558841444685614,False,drawdown;volatility,0.0991563667059947,0.1302191770174849,0.7913205232039142,-0.2512975002879043,0.0,4.999999999999999,0.2,-0.1,0.1,3.0,0.05,False,False,True,True,0.397934718353477,0.7679360466743905,1.0,1.0,2,
zero_cash,conservative,rolling_risk_parity_inverse_vol_12p,benchmark,,,,,0.5400337680629098,0.3403039651996994,0.13562668318995727,0.2511448194738774,False,drawdown;volatility;turnover,0.0870721448064411,0.1123861908810632,0.7993464897270386,-0.269991400919034,0.065611942559803,3.350499299521307,0.3811193362167304,-0.1,0.1,3.0,0.05,False,False,True,False,0.37038216646754746,0.8897890320513546,1.0,0.7620563886586157,3,
zero_cash,conservative,Equal_Weight_Risky,benchmark,,,,,0.5347632357178977,0.0,0.10749885101025115,0.20102139382476125,False,drawdown;volatility,0.1224723954714679,0.1627739712718562,0.7913205232039137,-0.3056136591486704,0.0,4.0,0.25,-0.1,0.1,3.0,0.05,False,False,True,True,0.32721050583460176,0.6143488373395122,1.0,1.0,4,
zero_cash,conservative,BuyHold_GLD,benchmark,,,,,0.8724901111488644,0.6893572912773549,0.10074356537881671,0.11546671313691007,False,drawdown;volatility;effective_assets,0.2257082377484229,0.1664043116160493,1.3081884451675567,-0.1734831770796148,0.0,1.0,1.0,-0.1,0.1,3.0,0.05,False,False,False,True,0.5764247674234607,0.6009459672579496,0.3333333333333333,1.0,5,
zero_cash,conservative,60_40_SPY_TLT,benchmark,,,,,0.3941338837471878,0.26395874208624154,0.08136656778431209,0.20644398043306433,False,drawdown;volatility;effective_assets,0.0365960183849269,0.1250640395691306,0.3496406498886238,-0.2482794217772905,0.0,1.9230769230769231,0.5999999999999998,-0.1,0.1,3.0,0.05,False,False,False,True,0.4027720029479574,0.7995903566246463,0.6410256410256411,1.0,6,
zero_cash,conservative,rolling_markowitz_long_only_52p,benchmark,,,,,0.8651860655429607,0.6343247629632093,0.05761790282450472,0.06659596717885849,False,drawdown;volatility;effective_assets;turnover,0.2761936033774554,0.2245106918365903,1.1988242479757492,-0.2106307713462841,0.1038355667511928,1.9620233202532145,0.5909031263913668,-0.1,0.1,3.0,0.05,False,False,False,False,0.47476443902679644,0.4454130855949828,0.6540077734177382,0.48153057342873923,7,
zero_cash,conservative,BuyHold_SPY,benchmark,,,,,0.5588067192979865,0.3967634472166779,0.04927355795395919,0.08817638774254577,False,drawdown;volatility;effective_assets,0.1209506174024004,0.1681668290824719,0.7634141117043921,-0.2247947201487099,0.0,1.0,1.0,-0.1,0.1,3.0,0.05,False,False,False,True,0.4448503057983139,0.5946475921892913,0.3333333333333333,1.0,8,
zero_cash,conservative,trend_spy_cash_12p,benchmark,,,,,0.5855999769023156,0.47190223736860254,0.031842945075411744,0.054376616003049286,False,drawdown;volatility;effective_assets;turnover,0.0854594424902874,0.1074537825814774,0.8174290189188304,-0.1625884610537178,0.175438596491228,1.0,1.0,-0.1,0.1,3.0,0.05,False,False,False,False,0.6150497972113832,0.9306326645520782,0.3333333333333333,0.28500000000000014,9,
zero_cash,conservative,V3_real_macro_vintage_clean_no_dxy_cap_0p70,td3,,V3_real_macro_vintage_clean_no_dxy,,,0.5395905702200859,0.40881352664073667,0.026205980147480594,0.048566416082460095,False,drawdown;volatility;effective_assets;turnover,0.08461653495374341,0.12439220287226549,0.7327139951044506,-0.19508257989693986,0.2767384531097496,1.9568992412966466,0.6571236875240694,-0.1,0.1,3.0,0.05,False,False,False,False,0.5126034321097711,0.8039089082029275,0.6522997470988822,0.1806760117292803,10,
zero_cash,conservative,V4_real_garch_current_cap_0p70,td3,,V4_real_garch_current,,,0.4516693616265811,0.3495872517001036,0.017881950908969883,0.03959079899635485,False,drawdown;volatility;effective_assets;turnover,0.047059535641156405,0.10280411044803288,0.5180260605288036,-0.1843464354869825,0.4452178812134046,2.004302828951787,0.6504030305103979,-0.1,0.1,3.0,0.05,False,False,False,False,0.5424569221305146,0.9727237516494991,0.668100942983929,0.11230456392211635,11,
